invoice_id,job_id,invoice_number,item,type,qty,unit_price_usd,amount_usd
invoice_f1d3d66515584ead80b713a75d20d623,job_e1d47e9f35eb4fce8645e00d891a3df8,5147,Service & Repair Fee - Standard,labor,1.0,102.0,102.0
invoice_b277c61cea414bbab57bf74319a98d22,job_982e80ba49744f6da9139e558db2f481,5146,Diagnostic/dispatch fees - Service & Repair Fee - Standard,labor,1.0,92.0,92.0
invoice_701e1be81b16495ba44d8e3b4cf82001,job_9634e09f10cf45f9ac5d97a2d6e7c7d0,5145,System Installation,labor,1.0,1410.0,1410.0
invoice_701e1be81b16495ba44d8e3b4cf82001,job_9634e09f10cf45f9ac5d97a2d6e7c7d0,5145,Service Calls - Repairs & Part Installation - Guarantees,labor,1.0,0.0,0.0
invoice_701e1be81b16495ba44d8e3b4cf82001,job_9634e09f10cf45f9ac5d97a2d6e7c7d0,5145,Carrier Heat Pump - 3 Ton Condenser - 15 SEER,material,1.0,5167.0,5167.0
invoice_701e1be81b16495ba44d8e3b4cf82001,job_9634e09f10cf45f9ac5d97a2d6e7c7d0,5145,Comfort Series Front Return - 3 Ton,material,1.0,2348.0,2348.0
invoice_701e1be81b16495ba44d8e3b4cf82001,job_9634e09f10cf45f9ac5d97a2d6e7c7d0,5145,Electric Heater - 8kW 240 Volt-Single Phase with Terminal Block,material,1.0,269.0,269.0
invoice_701e1be81b16495ba44d8e3b4cf82001,job_9634e09f10cf45f9ac5d97a2d6e7c7d0,5145,Honeywell Home FocusPRO® N100,material,1.0,190.0,190.0
invoice_701e1be81b16495ba44d8e3b4cf82001,job_9634e09f10cf45f9ac5d97a2d6e7c7d0,5145,Add Ons - Drain package,material,1.0,280.0,280.0
invoice_c0c2d46aa002427993b3e572d3dcf414,job_444fd6c93f4944759926b0c7376e1870,5143,Install Badger 5 3/4 HP Disposal,labor,1.0,768.75,768.75
invoice_ed041c8098c74fc8b8803055839159ec,job_444fd6c93f4944759926b0c7376e1870,5142,Install Badger 5 3/4 HP Disposal,labor,1.0,768.75,768.75
invoice_e82c78a2abdc46cd8265528dcb6589cf,job_bc631c22fc004d2a9699e851f189568a,5141,Bath/ Shower - Install 3 Handle Shower Faucet,labor,1.0,1137.5,1137.5
invoice_7cddb3b26a624ed9a5e6f05857b2808d,job_0892bf6b7df744d7abbbabcbd4fe6ea1,5140,System Installation,labor,1.0,1410.0,1410.0
invoice_7cddb3b26a624ed9a5e6f05857b2808d,job_0892bf6b7df744d7abbbabcbd4fe6ea1,5140,Service Calls - Repairs & Part Installation - Guarantees,labor,1.0,0.0,0.0
invoice_7cddb3b26a624ed9a5e6f05857b2808d,job_0892bf6b7df744d7abbbabcbd4fe6ea1,5140,Service Calls - Repairs & Part Installation - Guarantees,labor,1.0,0.0,0.0
invoice_7cddb3b26a624ed9a5e6f05857b2808d,job_0892bf6b7df744d7abbbabcbd4fe6ea1,5140,2 Ton - STANDARD CHOICE 15 - Trane 2 Ton 15.2 Seer2 (16 SEER) Gas Furnace System,material,1.0,9399.0,9399.0
invoice_7cddb3b26a624ed9a5e6f05857b2808d,job_0892bf6b7df744d7abbbabcbd4fe6ea1,5140,Add Ons - Concrete Pad,material,1.0,256.0,256.0
invoice_7cddb3b26a624ed9a5e6f05857b2808d,job_0892bf6b7df744d7abbbabcbd4fe6ea1,5140,Add Ons - Drain package,material,1.0,280.0,280.0
invoice_a5073a531ab3423cab1cc3beac0f33f3,job_97ac0d6e0a5b4da88f2dfaaafc8863b9,5139,Replace wet switch / treat drain pan,labor,1.0,241.0,241.0
invoice_197a2679bf294e9aa4d7838381555600,job_9463aeb3994c486daa3fe25cab147825,5138,Preventative Maintenance - Residential Inspection Report,labor,1.0,360.0,360.0
invoice_d15bb8d98f854b05a1561951eb11ecad,job_4b44d10b9b1747f0a2ebdb93f6d9a325,5137,Residential Preventative Maintenance,labor,1.0,91.0,91.0
invoice_8e88b654a9b845d8905c9f26c45b8701,job_6698442bf190409f8e1926f577de8bac,5136,Replace PVC Toilet Flange,labor,1.0,533.0,533.0
invoice_8e88b654a9b845d8905c9f26c45b8701,job_6698442bf190409f8e1926f577de8bac,5136,Plumbing Estimate,labor,1.0,0.0,0.0
invoice_6f48e5fed8c94f56b1672bc0236d8cd9,job_63b54fdfecdd45eea36e27fc78db6b62,5134,Diagnostic/dispatch fees - Service & Repair Fee - After-Hours,labor,1.0,184.0,184.0
invoice_6f48e5fed8c94f56b1672bc0236d8cd9,job_63b54fdfecdd45eea36e27fc78db6b62,5134,Service Calls - Repairs & Part Installation - Tier 3 Repair - Clear Drain Line,labor,1.0,165.0,165.0
invoice_8c71487fb92e44c1990de98b0a99157c,job_0892bf6b7df744d7abbbabcbd4fe6ea1,5133,System Installation,labor,1.0,1410.0,1410.0
invoice_8c71487fb92e44c1990de98b0a99157c,job_0892bf6b7df744d7abbbabcbd4fe6ea1,5133,Service Calls - Repairs & Part Installation - Guarantees,labor,1.0,0.0,0.0
invoice_8c71487fb92e44c1990de98b0a99157c,job_0892bf6b7df744d7abbbabcbd4fe6ea1,5133,Service Calls - Repairs & Part Installation - Guarantees,labor,1.0,0.0,0.0
invoice_8c71487fb92e44c1990de98b0a99157c,job_0892bf6b7df744d7abbbabcbd4fe6ea1,5133,2 Ton - STANDARD CHOICE 15 - Trane 2 Ton 15.2 Seer2 (16 SEER) Gas Furnace System,material,1.0,9399.0,9399.0
invoice_8c71487fb92e44c1990de98b0a99157c,job_0892bf6b7df744d7abbbabcbd4fe6ea1,5133,Add Ons - Concrete Pad,material,1.0,256.0,256.0
